scenario,n_runs,throughput_mean,throughput_ci95_low,throughput_ci95_high
A,30,5.588364697983029,5.571031785040144,5.6056976109259145
B,30,0.03292734063031189,0.031687694557812326,0.03416698670281146
C,30,0.013375570660127184,0.0130372685939994,0.013713872726254968
