scenario,efficiency_ratio,overhead_pct,data_share_pct
A,0.49951219512195133,50.04878048780487,49.95121951219513
B,0.28553815496056933,71.44618450394307,28.553815496056934
C,0.20345132220680698,79.6548677793193,20.345132220680696
