scenario,mu_ms,sigma_ms,n_samples,source,ks_stat,ks_p
A,10.374593734741211,0.3109157171689633,5,pcap,0.41086678523930836,0.2810470008716306
B,50.36940574645996,0.0978638713888213,5,pcap,0.19459531370859706,0.9709143125206666
C,100.34399032592773,0.10011002799227445,5,pcap,0.28409149380836995,0.7257232522827785
